obtuvo_credito,numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
true,5,2.38,30.2,35,52,false,false,true,false,false,true,true,Primaria incompleta,Mujer,AYACUCHO,Sierra,Gravedad,Autoconsumo,Consumidor final,Gravedad
true,6,1,0,27,44,false,false,false,false,false,false,false,Secundaria completa,Hombre,AYACUCHO,Sierra,Gravedad,Otro,Sin ventas,Gravedad
true,4,4.05,7.84,22,43,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,CAJAMARCA,Selva,Secano,Autoconsumo,Comerciante mayorista,Secano
true,2,22.5,0,30,52,false,true,true,false,false,false,false,Primaria completa,Mujer,CAJAMARCA,Sierra,Secano,Otro,Sin ventas,Secano
true,3,12,0,32,52,false,false,true,false,false,false,false,Primaria incompleta,Hombre,CAJAMARCA,Sierra,Secano,Otro,Sin ventas,Secano
true,3,16,76.92,42,62,false,false,true,false,false,false,false,Primaria completa,Hombre,CAJAMARCA,Sierra,Gravedad,Venta,Consumidor final,Gravedad
true,8,4.45,69.19,40,59,false,false,true,false,false,true,true,Primaria completa,Hombre,CUSCO,Sierra,No especificado,Venta,Acopiador,No especificado
true,5,17.1,0,30,58,false,false,true,false,false,false,false,Primaria completa,Hombre,CUSCO,Sierra,Secano,Otro,Sin ventas,Secano
true,6,2.67,91.84,19,32,false,false,false,false,false,false,false,Secundaria completa,Mujer,HUANCAVELICA,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,2,35,74.42,38,56,false,false,true,false,false,false,false,Primaria completa,Hombre,HUANUCO,Selva,Secano,Venta,Acopiador,Secano
false,2,6,43.48,22,40,false,false,false,false,false,false,false,Secundaria completa,Hombre,HUANUCO,Sierra,Aspersion,Autoconsumo,Acopiador,Aspersion
true,1,0.97,0,2,20,false,false,true,true,false,false,false,Superior universitaria incompleta,Hombre,ICA,Costa,Gravedad,Otro,Sin ventas,Gravedad
true,3,33,99.93,43,60,false,true,true,false,true,false,true,Secundaria completa,Hombre,JUNIN,Selva,Secano,Venta,Comerciante mayorista,Secano
